               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042921,            0.018149,                   0,             0.84014,             0.80851,             0.84175,             0.35719,            0.038463,            0.012184,                   0,           0.0087151,           0.0087151,           0.0087151
                  39,            0.042416,            0.018551,                   0,              0.8241,             0.75862,             0.79192,             0.34045,             0.03878,            0.012505,                   0,           0.0086485,           0.0086485,           0.0086485
                  40,            0.041152,            0.017686,                   0,             0.84717,             0.83809,             0.84831,             0.33403,            0.037797,            0.011979,                   0,           0.0085805,           0.0085805,           0.0085805
                  41,            0.041079,            0.017922,                   0,             0.84985,             0.85676,             0.85856,             0.36594,            0.037088,            0.011574,                   0,           0.0085111,           0.0085111,           0.0085111
                  42,            0.040477,            0.017689,                   0,             0.79011,             0.76923,             0.75023,             0.29168,             0.04284,            0.012691,                   0,           0.0084404,           0.0084404,           0.0084404
                  43,            0.040859,            0.017442,                   0,             0.83895,             0.78762,             0.80837,              0.3285,            0.039103,            0.012497,                   0,           0.0083684,           0.0083684,           0.0083684
                  44,            0.040615,            0.017376,                   0,             0.83784,             0.82493,             0.82937,             0.35056,            0.037724,            0.011946,                   0,           0.0082952,           0.0082952,           0.0082952
                  45,            0.039907,            0.017501,                   0,             0.84252,              0.8382,             0.85631,             0.34702,            0.039046,            0.011986,                   0,           0.0082207,           0.0082207,           0.0082207
                  46,            0.040159,            0.016329,                   0,              0.8123,             0.80356,             0.79961,             0.32518,            0.039129,            0.012347,                   0,            0.008145,            0.008145,            0.008145
                  47,            0.039622,            0.017079,                   0,             0.82344,              0.8435,             0.82989,              0.3389,            0.038067,             0.01194,                   0,           0.0080682,           0.0080682,           0.0080682
                  48,             0.03921,            0.018762,                   0,             0.83301,             0.83554,             0.83052,             0.33675,            0.038266,            0.012045,                   0,           0.0079903,           0.0079903,           0.0079903
